,userid,,connectionid,,status,
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Krystina_Zboncak,"','",Luis_Ortiz,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Forrest,"','",Jazmyn_Heathcote,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Gail,"','",Morgan,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Narciso,"','",Verlie,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Kolby,"','",Lori,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Bessie_Prosacco,"','",Maureen.Witting,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Lelah,"','",Valerie,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Jorge,"','",Bennie,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Dudley.Cummerata,"','",Anna,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Kaylah.Leuschke,"','",Kirstin,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Presley_Blanda,"','",Cassandre,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Cleo.Bahringer,"','",Claudine,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Kallie_Johns,"','",Blaise_Hammes,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Connie,"','",Faye.Miller,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Natalie,"','",Luciano.Wolf,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Toney.Vandervort,"','",Orland_Crooks,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Lisette_Hand,"','",Verlie,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Gerard,"','",Vita.Beer,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Ollie_Gaylord,"','",Darren,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Mona_Jerde,"','",Tad,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Brandyn,"','",Germaine.Spencer,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Eliseo_Wehner,"','",Abelardo_Romaguera,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Brayan_Larkin,"','",Rowena,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Vaughn,"','",Cali,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Alexandra.O''Keefe,"','",Asia,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Leola.Hayes,"','",Kolby.Bartell,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Archibald,"','",Wilfredo_Walter,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Dario_Breitenberg,"','",Ella.Leffler,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Carmel_Littel,"','",Marisa,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Jammie,"','",Santino_Rosenbaum,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Lavada_Bayer,"','",Adella.McDermott,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Carolina.Friesen,"','",Jackson,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Erling.Reichert,"','",Eloy,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Arianna.Sanford,"','",Peyton.Conroy,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Krista_Kerluke,"','",Louvenia.Kertzmann,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Kasandra,"','",Cierra.Gorczany,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Eloisa.Marks,"','",Kian_Kiehn,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Payton.Wisozk,"','",Melissa,"','",Request,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Niko_Cronin,"','",Bessie_Runolfsdottir,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Filomena_Tromp,"','",Shirley,"','",Reject,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Tyrique,"','",Cielo_Rippin,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Terrance.Lakin,"','",Neva_Thompson,"','",Accept,');
"INSERT INTO CONNECTION_USR(userId,connectionId,status)VALUES ('",Zane.Ernser,"','",Renee,"','",Request,');
